status_1,Bozza
status_2,Pre-notificato
status_3,Consegnato a PostNL
status_4,In smistamento
status_5,In distribuzione
status_6,Spedizione presso la dogana
status_7,Spedizione consegnata
status_8,Spedizione presso punto di ritiro
status_9,Spedizione ritirata presso punto di ritiro
status_10,Spedizione di reso consegnata
status_11,Spedizione di reso presso punto di ritiro
status_12,Etichetta non affrancata stampata
status_13,Accreditato
status_14,Stampato - Francobollo digitale
status_17,Annullato
status_30,Inattivo - Bozza
status_31,Inattivo - Pre-notificato
status_32,Inattivo - Consegnato a MyParcel
status_33,Inattivo - In smistamento
status_34,Inattivo - In distribuzione
status_35,Inattivo - Spedizione presso la dogana
status_36,Inattivo - Spedizione consegnata
status_37,Inattivo - Spedizione presso punto di ritiro
status_38,Inattivo - Spedizione ritirata presso punto di ritiro
status_39,Inattivo - Spedizione di reso consegnata
status_40,Inattivo - Spedizione di reso presso punto di ritiro
status_99,Inattivo - Stato sconosciuto
No MyParcel shipments to process.,Nessuna spedizione MyParcel da elaborare.
Packet,Piccolo pacco
Packet title,Titolo piccolo pacco
Parcel locker,Locker per pacchi
Show total price,Mostra prezzo totale
Show surcharge,Mostra sovrapprezzo
Version and support,Versione e supporto
Settings,Impostazioni
General settings,Impostazioni generali
API settings,Impostazioni API
MyParcel NL Settings,Impostazioni MyParcel NL
Go to the general settings in the back office of MyParcel to generate the API Key.,Vai alle impostazioni generali nel backoffice di MyParcel per generare la chiave API.
The API Key,Inserisci qui la chiave API
Default shipment settings,Impostazioni di spedizione predefinite
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%.","Questa descrizione apparirà sull'etichetta di spedizione. Si possono usare i seguenti componenti: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%."
Print MyParcel labels directly,Stampa direttamente le etichette MyParcel
Print settings,Impostazioni di stampa
Paper type,Orientamento di stampa
Select a standard orientation for printing labels.,Seleziona un orientamento standard per la stampa delle etichette.
Label description,Descrizione etichetta
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%.","Questa descrizione apparirà sull'etichetta di spedizione. Si possono usare i seguenti componenti: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%."
Country of origin,Paese di origine
"This country will appear on the international consignment labels. This is where your products are shipped from. You can use NL, BE, DE etc. This will be overridden by country of manufacture on product level.","Questo paese apparirà sulle etichette di spedizione internazionali. È il paese da cui vengono spediti i prodotti. Puoi usare NL, BE, DE ecc. Verrà sovrascritto dal paese di produzione a livello di prodotto."
Create Concept,Crea bozza
"Enable create label concept, when invoice is printed.",Crea bozza di spedizione quando viene stampata la fattura.
Delivery methods,Metodi di spedizione
Preferred pickup locations view,Vista preferita per i punti di ritiro
Switching the view is allowed,È consentito cambiare vista
"When pickup locations are enabled, the user can choose between map or list view. This setting decides which option will be selected first, upon opening the pickup locations.","Quando i punti di ritiro sono abilitati, l'utente può scegliere tra vista a mappa o a elenco. Questa impostazione determina quale opzione viene selezionata per prima all'apertura dei punti di ritiro."
Show list first,Mostra prima l'elenco
Show map first,Mostra prima la mappa
Default shipping options,Opzioni di spedizione predefinite
"Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually. These settings will activate based on the order total amount.","Inserisci qui le tue preferenze per una spedizione. Queste impostazioni si applicano solo alle azioni di massa nella griglia ordini. Quando crei una singola spedizione, queste impostazioni possono essere modificate manualmente. Si attivano in base al totale dell'ordine."
Automate 'Signature on receipt',Automatizza 'Firma alla consegna'
Automate 'Collect package',Automatizza 'Ritirare il pacco'
Automate 'Receipt code',Automatizza 'Codice di ricezione'
Automate 'Return if no answer',Automatizza 'Restituisci se nessuna risposta'
Automate 'Large format',Automatizza 'Formato grande'
Large package,Formato grande
Automate 'Age check 18+',Automatizza 'Controllo età 18+'
Automate 'Insurance € 100',Automatizza 'Assicurato fino a €100'
Automate 'Insurance € 250',Automatizza 'Assicurato fino a €250'
Automate 'Insurance € 500',Automatizza 'Assicurato fino a € 500'
Automate 'Insure shipments to Belgium',Automatizza 'Assicura spedizioni verso il Belgio'
Automate Priority delivery (mailbox),Automatizza la consegna prioritaria (buca lettere)
Automatically enable priority delivery for mailbox packages during export,Abilita automaticamente la consegna prioritaria per i pacchi buca lettere durante l'esportazione
Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations.,Nota: la consegna del lunedì è possibile solo se il pacco viene consegnato prima delle ore 15:00 di sabato presso i punti PostNL designati.
'Signature on receipt' operates above a certain order total amount,'Firma alla consegna' viene attivata se l'importo totale supera la cifra indicata sopra
The age check is intended for parcel shipments for which the recipient must show 18+ by means of a proof of identity. With this shipping option Signature on receipt and Only recipient are included. The age 18+ is further excluded from the delivery options morning and evening delivery.,Il controllo dell'età è destinato alle spedizioni di pacchi per le quali il destinatario deve dimostrare di avere 18 anni o più mediante un documento d'identità. Con questa opzione di spedizione sono inclusi la firma alla ricezione e solo destinatario. Il controllo dell'età 18+ è inoltre escluso dalle opzioni di consegna mattina e sera.
'Insurance € 500' operates above a certain order total amount.,'Assicurato fino a € 500' viene attivato se l'importo totale supera la cifra indicata sopra.
Select automatically digital stamp packages based on weight,Seleziona automaticamente i pacchi con francobollo digitale in base al peso
Price depends on the weight. Are the weights correctly filled in for all products? Choose 'No standard weight' to let MyParcel calculate the weight itself. Select a standard weight here when the products do not contain correct weights.,Il prezzo dipende dal peso. I pesi sono inseriti correttamente per tutti i prodotti? Scegli 'Nessun peso standard' per far calcolare il peso a MyParcel. Seleziona qui un peso standard se i prodotti non contengono pesi corretti.
Enter a basic price for a digital stamp. The regular price will not affect this price.,Inserisci un prezzo base per un francobollo digitale. Il prezzo normale non influirà su questo prezzo.
Mailbox settings,Impostazioni pacco buca lettere
Automate mailbox,Automatizza pacco buca lettere
Select automatically mailbox packages based on weight or volume,Seleziona automaticamente i pacchi buca lettere in base a peso o volume
Mailbox weight,Peso pacco buca lettere
Mailbox fee,Costo pacco buca lettere
Enter a basic price for a mailbox. The regular price will not affect this price.,Inserisci un prezzo base per un pacco buca lettere. Il prezzo normale non influirà su questo prezzo.
Morning delivery,Consegna mattutina
Evening delivery,Consegna serale
Evening delivery fee,Costo consegna serale
Express delivery,Consegna espressa
Express delivery fee,Costo consegna espressa
Express delivery active,Consegna espressa attiva
Same day delivery,Consegna in giornata
Same day title,Titolo consegna in giornata
Morning delivery active,Consegna mattutina attiva
If age check is active then the evening delivery is not possible,"Se il controllo dell'età è attivo, la consegna serale non è possibile"
If age check is active then the morning delivery is not possible,"Se il controllo dell'età è attivo, la consegna mattutina non è possibile"
Morning delivery fee,Costo consegna mattutina
Evening delivery active,Consegna serale attiva
Monday delivery,Consegna del lunedì
Delivery on monday may require special conditions compared to other (week)days including but not limited to fee and cutoff time.,"La consegna del lunedì può richiedere condizioni particolari rispetto agli altri giorni (della settimana), inclusi a titolo esemplificativo costi e orario limite."
Number of days,Numero di giorni
Delivery enabled,Consegna abilitata
Receipt code,Codice di ricezione
Receipt code fee,Costo codice di ricezione
Collect package,Ritirare il pacco
Digital stamp settings,Impostazioni francobollo digitale
"Fill in weight in grams, regardless of 'weight type' settings. This weight is added to the order weight. Exception: digital stamp will use the range class exactly when specified.","Inserisci il peso in grammi, indipendentemente dalle impostazioni del 'tipo di peso'. Questo peso viene sommato al peso dell'ordine. Eccezione: il francobollo digitale utilizzerà la classe di peso esatta quando specificata."
Automate digital stamp,Automatizza francobollo digitale
Default weight,Peso predefinito
Digital stamp fee,Costo francobollo digitale
From price,Da prezzo
Enable sameday delivery,Abilita consegna in giornata
Sameday delivery fee,Costo consegna in giornata
Sameday cut-off time,Orario limite consegna in giornata
Saturday cut-off time,Orario limite sabato
Sunday cut-off time,Orario limite domenica
Track number,Numero di tracciamento
Track status,Stato di tracciamento
Track action,Azione di tracciamento
MyParcel options,Opzioni MyParcel
Package,Pacco
Insured up to:,Assicurato fino a:
Download package label,Scarica etichetta pacco
Download small package label,Scarica etichetta piccolo pacco
Download digital stamp label,Scarica etichetta francobollo digitale
Download mailbox label,Scarica etichetta pacco buca lettere
Download letter label,Scarica etichetta non affrancata
Create new concept,Crea nuova bozza
Create shipment,Crea spedizione
