status_1,Kladde
status_2,Forhåndsanmeldt
status_3,Overdraget til PostNL
status_4,Under sortering
status_5,Under distribution
status_6,Forsendelse hos tolden
status_7,Forsendelse leveret
status_8,Forsendelse på afhentningssted
status_9,Forsendelse afhentet på afhentningssted
status_10,Returforsendelse leveret
status_11,Returforsendelse på afhentningssted
status_12,Ufrankeret label printet
status_13,Krediteret
status_14,Printet - Digitalt frimærke
status_17,Annulleret
status_30,Inaktiv - Kladde
status_31,Inaktiv - Forhåndsanmeldt
status_32,Inaktiv - Overdraget til MyParcel
status_33,Inaktiv - Under sortering
status_34,Inaktiv - Under distribution
status_35,Inaktiv - Forsendelse hos tolden
status_36,Inaktiv - Forsendelse leveret
status_37,Inaktiv - Forsendelse på afhentningssted
status_38,Inaktiv - Forsendelse afhentet på afhentningssted
status_39,Inaktiv - Returforsendelse leveret
status_40,Inaktiv - Returforsendelse på afhentningssted
status_99,Inaktiv - Ukendt status
No MyParcel shipments to process.,Ingen MyParcel-forsendelser at behandle.
Packet,Lille pakke
Packet title,Titel for lille pakke
Parcel locker,Pakkeboks
Show total price,Vis totalpris
Show surcharge,Vis tillæg
Version and support,Version og support
Settings,Indstillinger
General settings,Generelle indstillinger
API settings,API-indstillinger
MyParcel NL Settings,MyParcel NL indstillinger
Go to the general settings in the back office of MyParcel to generate the API Key.,Gå til generelle indstillinger i MyParcel-backoffice for at generere API-nøglen.
The API Key,Indtast API-nøglen her
Default shipment settings,Standard forsendelsesindstillinger
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%.","Denne beskrivelse vises på forsendelseslabelen. Følgende dele kan bruges: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%."
Print MyParcel labels directly,Print MyParcel-labels direkte
Print settings,Printindstillinger
Paper type,Udskriftsretning
Select a standard orientation for printing labels.,Vælg en standardretning til udskrivning af labels.
Label description,Labelbeskrivelse
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%.","Denne beskrivelse vises på forsendelseslabelen. Følgende dele kan bruges: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%."
Country of origin,Oprindelsesland
"This country will appear on the international consignment labels. This is where your products are shipped from. You can use NL, BE, DE etc. This will be overridden by country of manufacture on product level.","Dette land vises på de internationale forsendelseslabels. Det er her, dine produkter sendes fra. Du kan bruge NL, BE, DE osv. Det vil blive overskrevet af fremstillingslandet på produktniveau."
Create Concept,Opret kladde
"Enable create label concept, when invoice is printed.","Opret kladdeforsendelse, når fakturaen udskrives."
Delivery methods,Forsendelsesmetoder
Preferred pickup locations view,Foretrukket visning af afhentningssteder
Switching the view is allowed,Skift af visning er tilladt
