status_1,Konzept
status_2,Vorangemeldet
status_3,An PostNL übergeben
status_4,Im Sortierprozess
status_5,In Zustellung
status_6,Sendung beim Zoll
status_7,Sendung zugestellt
status_8,Sendung am Abholort
status_9,Sendung am Abholort abgeholt
status_10,Retoursendung zugestellt
status_11,Retoursendung am Abholort
status_12,Unfrankiertes Etikett gedruckt
status_13,Gutgeschrieben
status_14,Gedruckt - Digitale Briefmarke
status_17,Storniert
status_30,Inaktiv - Konzept
status_31,Inaktiv - Vorangemeldet
status_32,Inaktiv - An MyParcel übergeben
status_33,Inaktiv - Im Sortierprozess
status_34,Inaktiv - In Zustellung
status_35,Inaktiv - Sendung beim Zoll
status_36,Inaktiv - Sendung zugestellt
status_37,Inaktiv - Sendung am Abholort
status_38,Inaktiv - Sendung am Abholort abgeholt
status_39,Inaktiv - Retoursendung zugestellt
status_40,Inaktiv - Retoursendung am Abholort
status_99,Inaktiv - Unbekannter Status
No MyParcel shipments to process.,Keine MyParcel-Sendungen zu verarbeiten.
Packet,Kleines Paket
Packet title,Titel kleines Paket
Parcel locker,Paketautomat
Show total price,Gesamtpreis anzeigen
Show surcharge,Aufpreis anzeigen
Version and support,Version und Support
Settings,Einstellungen
General settings,Allgemeine Einstellungen
API settings,API-Einstellungen
MyParcel NL Settings,MyParcel NL Einstellungen
Go to the general settings in the back office of MyParcel to generate the API Key.,"Gehen Sie zu den allgemeinen Einstellungen im Backoffice von MyParcel, um den API-Schlüssel zu generieren."
The API Key,Geben Sie hier den API-Schlüssel ein
Default shipment settings,Standard-Versandeinstellungen
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%.","Diese Beschreibung erscheint auf dem Versandetikett. Folgende Bausteine können verwendet werden: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%."
Print MyParcel labels directly,MyParcel-Etiketten direkt drucken
Print settings,Druckeinstellungen
Paper type,Druckausrichtung
Select a standard orientation for printing labels.,Wählen Sie eine Standardausrichtung für den Etikettendruck.
Label description,Etikettenbeschreibung
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%.","Diese Beschreibung erscheint auf dem Versandetikett. Folgende Bausteine können verwendet werden: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%."
Country of origin,Ursprungsland
"This country will appear on the international consignment labels. This is where your products are shipped from. You can use NL, BE, DE etc. This will be overridden by country of manufacture on product level.","Dieses Land erscheint auf den internationalen Versandetiketten. Von hier werden Ihre Produkte versandt. Sie können NL, BE, DE usw. verwenden. Dies wird auf Produktebene durch das Herstellungsland überschrieben."
Create Concept,Konzept erstellen
"Enable create label concept, when invoice is printed.","Konzeptsendung erstellen, wenn die Rechnung gedruckt wird."
Delivery methods,Versandmethoden
Preferred pickup locations view,Bevorzugte Ansicht für Abholorte
Switching the view is allowed,Wechsel der Ansicht ist erlaubt
"When pickup locations are enabled, the user can choose between map or list view. This setting decides which option will be selected first, upon opening the pickup locations.","Wenn Abholorte aktiviert sind, kann der Nutzer zwischen Karten- oder Listenansicht wählen. Diese Einstellung legt fest, welche Option beim Öffnen der Abholorte zuerst ausgewählt wird."
Show list first,Liste zuerst anzeigen
Show map first,Karte zuerst anzeigen
Default shipping options,Standard-Versandoptionen
"Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually. These settings will activate based on the order total amount.",Geben Sie hier Ihre Voreinstellungen für eine Sendung ein. Diese Einstellungen gelten nur für Massenaktionen in der Bestellübersicht. Beim Erstellen einer einzelnen Sendung können diese Einstellungen manuell geändert werden. Die Einstellungen werden basierend auf dem Bestellgesamtbetrag aktiviert.
Automate 'Signature on receipt','Unterschrift bei Empfang' automatisieren
Automate 'Collect package','Paket abholen lassen' automatisieren
Automate 'Receipt code','Empfangscode' automatisieren
Automate 'Return if no answer','Bei Nichtannahme zurücksenden' automatisieren
Automate 'Large format','Großformat' automatisieren
Large package,Großformat
Automate 'Age check 18+','Altersprüfung 18+' automatisieren
Automate 'Insurance € 100','Versichert bis €100' automatisieren
Automate 'Insurance € 250','Versichert bis €250' automatisieren
Automate 'Insurance € 500','Versichert bis € 500' automatisieren
Automate 'Insure shipments to Belgium','Sendungen nach Belgien versichern' automatisieren
Automate Priority delivery (mailbox),Prio-Lieferung (Briefkasten) automatisieren
Automatically enable priority delivery for mailbox packages during export,Priority-Lieferung für Briefkastenpakete während des Exports automatisch aktivieren
Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations.,"Hinweis: Die Montagszustellung ist nur möglich, wenn das Paket samstags vor 15:00 Uhr an den dafür vorgesehenen PostNL-Standorten abgegeben wird."
'Signature on receipt' operates above a certain order total amount,"'Unterschrift bei Empfang' wird aktiviert, wenn der Gesamtbetrag den oben genannten Betrag übersteigt"
The age check is intended for parcel shipments for which the recipient must show 18+ by means of a proof of identity. With this shipping option Signature on receipt and Only recipient are included. The age 18+ is further excluded from the delivery options morning and evening delivery.,"Die Altersüberprüfung ist für Paketsendungen gedacht, bei denen der Empfänger 18+ durch einen Identitätsnachweis nachweisen muss. Bei dieser Versandoption sind Unterschrift bei Empfang und Nur Empfänger enthalten. Das Mindestalter 18+ ist weiterhin von den Lieferoptionen Morgen- und Abendlieferung ausgeschlossen."
'Insurance € 500' operates above a certain order total amount.,"'Versichert bis € 500' wird aktiviert, wenn der Gesamtbetrag den oben genannten Betrag übersteigt."
Select automatically digital stamp packages based on weight,Digitale-Briefmarke-Pakete automatisch nach Gewicht auswählen
Price depends on the weight. Are the weights correctly filled in for all products? Choose 'No standard weight' to let MyParcel calculate the weight itself. Select a standard weight here when the products do not contain correct weights.,"Der Preis hängt vom Gewicht ab. Sind die Gewichte für alle Produkte korrekt eingetragen? Wählen Sie 'Kein Standardgewicht', um MyParcel das Gewicht selbst berechnen zu lassen. Wählen Sie hier ein Standardgewicht, wenn die Produkte keine korrekten Gewichte enthalten."
Enter a basic price for a digital stamp. The regular price will not affect this price.,Geben Sie einen Grundpreis für eine digitale Briefmarke ein. Der normale Preis hat keinen Einfluss auf diesen Preis.
Mailbox settings,Briefkastenpaket-Einstellungen
Automate mailbox,Briefkastenpaket automatisieren
Select automatically mailbox packages based on weight or volume,Briefkastenpakete automatisch nach Gewicht oder Volumen auswählen
Mailbox weight,Briefkastenpaket-Gewicht
Mailbox fee,Briefkastenpaket-Kosten
Enter a basic price for a mailbox. The regular price will not affect this price.,Geben Sie einen Grundpreis für ein Briefkastenpaket ein. Der normale Preis hat keinen Einfluss auf diesen Preis.
Morning delivery,Morgenzustellung
Evening delivery,Abendzustellung
Evening delivery fee,Abendzustellung Kosten
Express delivery,Express-Zustellung
Express delivery fee,Express-Zustellung Kosten
Express delivery active,Express-Zustellung aktiviert
