status_1,Szkic
status_2,Zgłoszono
status_3,Przekazane do PostNL
status_4,W trakcie sortowania
status_5,W dystrybucji
status_6,Przesyłka w urzędzie celnym
status_7,Przesyłka dostarczona
status_8,Przesyłka w punkcie odbioru
status_9,Przesyłka odebrana z punktu odbioru
status_10,Przesyłka zwrotna dostarczona
status_11,Przesyłka zwrotna w punkcie odbioru
status_12,Wydrukowano etykietę bez opłaty
status_13,Zaksięgowano
status_14,Wydrukowano - Cyfrowy znaczek
status_17,Anulowano
status_30,Nieaktywny - Szkic
status_31,Nieaktywny - Zgłoszono
status_32,Nieaktywny - Przekazane do MyParcel
status_33,Nieaktywny - W trakcie sortowania
status_34,Nieaktywny - W dystrybucji
status_35,Nieaktywny - Przesyłka w urzędzie celnym
status_36,Nieaktywny - Przesyłka dostarczona
status_37,Nieaktywny - Przesyłka w punkcie odbioru
status_38,Nieaktywny - Przesyłka odebrana z punktu odbioru
status_39,Nieaktywny - Przesyłka zwrotna dostarczona
status_40,Nieaktywny - Przesyłka zwrotna w punkcie odbioru
status_99,Nieaktywny - Nieznany status
No MyParcel shipments to process.,Brak przesyłek MyParcel do przetworzenia.
Packet,Mała paczka
Packet title,Tytuł małej paczki
Parcel locker,Paczkomat
Show total price,Pokaż cenę całkowitą
Show surcharge,Pokaż dopłatę
Version and support,Wersja i wsparcie
Settings,Ustawienia
General settings,Ustawienia ogólne
API settings,Ustawienia API
MyParcel NL Settings,Ustawienia MyParcel NL
Go to the general settings in the back office of MyParcel to generate the API Key.,"Przejdź do ustawień ogólnych w backoffice MyParcel, aby wygenerować klucz API."
The API Key,Wprowadź tutaj klucz API
Default shipment settings,Domyślne ustawienia wysyłki
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%.","Ten opis pojawi się na etykiecie wysyłkowej. Można użyć następujących elementów: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%."
Print MyParcel labels directly,Drukuj etykiety MyParcel bezpośrednio
Print settings,Ustawienia drukowania
Paper type,Orientacja wydruku
Select a standard orientation for printing labels.,Wybierz domyślną orientację do drukowania etykiet.
Label description,Opis etykiety
"This description will appear on the shipment label. The following parts can be used: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%.","Ten opis pojawi się na etykiecie wysyłkowej. Można użyć następujących elementów: %order_nr%, %delivery_date%, %product_id%, %product_name%, %product_qty%, %article_short_name%, %article_number_supplier%."
Country of origin,Kraj pochodzenia
"This country will appear on the international consignment labels. This is where your products are shipped from. You can use NL, BE, DE etc. This will be overridden by country of manufacture on product level.","Ten kraj pojawi się na międzynarodowych etykietach wysyłkowych. Stąd wysyłane są Twoje produkty. Możesz użyć NL, BE, DE itd. Zostanie nadpisany przez kraj produkcji na poziomie produktu."
Create Concept,Utwórz szkic
"Enable create label concept, when invoice is printed.","Utwórz szkic przesyłki, gdy faktura zostanie wydrukowana."
Delivery methods,Metody dostawy
Preferred pickup locations view,Preferowany widok punktów odbioru
Switching the view is allowed,Przełączanie widoku jest dozwolone
"When pickup locations are enabled, the user can choose between map or list view. This setting decides which option will be selected first, upon opening the pickup locations.","Gdy punkty odbioru są włączone, użytkownik może wybrać między widokiem mapy a widokiem listy. To ustawienie określa, która opcja zostanie wybrana jako pierwsza po otwarciu punktów odbioru."
Show list first,Pokaż najpierw listę
Show map first,Pokaż najpierw mapę
Default shipping options,Domyślne opcje wysyłki
"Fill in your preferences for a shipment. These settings will only apply for the mass actions in the order grid. When creating a single shipment, these settings can be changed manually. These settings will activate based on the order total amount.",Wprowadź swoje preferencje dla przesyłki. Te ustawienia będą stosowane tylko dla akcji masowych w siatce zamówień. Przy tworzeniu pojedynczej przesyłki te ustawienia można zmienić ręcznie. Aktywują się one na podstawie kwoty całkowitej zamówienia.
Automate 'Signature on receipt',Automatyzuj 'Podpis przy odbiorze'
Automate 'Collect package',Automatyzuj 'Odbierz paczkę'
Automate 'Receipt code',Automatyzuj 'Kod odbioru'
Automate 'Return if no answer',Automatyzuj 'Zwróć w razie braku odpowiedzi'
Automate 'Large format',Automatyzuj 'Duży format'
Large package,Duży format
Automate 'Age check 18+',Automatyzuj 'Weryfikacja wieku 18+'
Automate 'Insurance € 100',Automatyzuj 'Ubezpieczone do €100'
Automate 'Insurance € 250',Automatyzuj 'Ubezpieczone do €250'
Automate 'Insurance € 500',Automatyzuj 'Ubezpieczone do € 500'
Automate 'Insure shipments to Belgium',Automatyzuj 'Ubezpiecz przesyłki do Belgii'
Automate Priority delivery (mailbox),Automatyzuj dostawę priorytetową (skrzynka pocztowa)
Automatically enable priority delivery for mailbox packages during export,Automatycznie włącz dostawę priorytetową dla paczek skrzynkowych podczas eksportu
Note: Monday delivery is only possible when the package is delivered before 15.00 on Saturday at the designated PostNL locations.,"Uwaga: dostawa w poniedziałek jest możliwa tylko wtedy, gdy paczka zostanie dostarczona przed godziną 15:00 w sobotę do wyznaczonych punktów PostNL."
'Signature on receipt' operates above a certain order total amount,"'Podpis przy odbiorze' jest aktywowany, gdy kwota całkowita przekracza powyższą kwotę"
The age check is intended for parcel shipments for which the recipient must show 18+ by means of a proof of identity. With this shipping option Signature on receipt and Only recipient are included. The age 18+ is further excluded from the delivery options morning and evening delivery.,"Kontrola wieku jest przeznaczona dla przesyłek paczkowych, gdzie odbiorca musi wykazać 18+ za pomocą dowodu tożsamości. Przy tej opcji wysyłki uwzględnione są podpis przy odbiorze i tylko odbiorca. Kontrola wieku 18+ jest ponadto wykluczona z opcji dostawy rano i wieczorem."
'Insurance € 500' operates above a certain order total amount.,"'Ubezpieczone do € 500' jest aktywowane, gdy kwota całkowita przekracza powyższą kwotę."
Select automatically digital stamp packages based on weight,Automatycznie wybieraj paczki z cyfrowym znaczkiem na podstawie wagi
Price depends on the weight. Are the weights correctly filled in for all products? Choose 'No standard weight' to let MyParcel calculate the weight itself. Select a standard weight here when the products do not contain correct weights.,"Cena zależy od wagi. Czy wagi są poprawnie wprowadzone dla wszystkich produktów? Wybierz 'Brak standardowej wagi', aby MyParcel sam obliczył wagę. Wybierz tutaj standardową wagę, jeśli produkty nie zawierają poprawnych wag."
Enter a basic price for a digital stamp. The regular price will not affect this price.,Wprowadź podstawową cenę cyfrowego znaczka. Standardowa cena nie wpływa na tę cenę.
Mailbox settings,Ustawienia paczki skrzynkowej
Automate mailbox,Automatyzuj paczkę skrzynkową
Select automatically mailbox packages based on weight or volume,Automatycznie wybieraj paczki skrzynkowe na podstawie wagi lub objętości
Mailbox weight,Waga paczki skrzynkowej
Mailbox fee,Koszt paczki skrzynkowej
Enter a basic price for a mailbox. The regular price will not affect this price.,Wprowadź podstawową cenę paczki skrzynkowej. Standardowa cena nie wpływa na tę cenę.
Morning delivery,Dostawa poranna
Evening delivery,Dostawa wieczorna
Evening delivery fee,Koszt dostawy wieczornej
Express delivery,Dostawa ekspresowa
Express delivery fee,Koszt dostawy ekspresowej
Express delivery active,Dostawa ekspresowa aktywna
Same day delivery,Dostawa tego samego dnia
Same day title,Tytuł dostawy tego samego dnia
Morning delivery active,Dostawa poranna aktywna
If age check is active then the evening delivery is not possible,"Jeśli weryfikacja wieku jest aktywna, dostawa wieczorna nie jest możliwa"
If age check is active then the morning delivery is not possible,"Jeśli weryfikacja wieku jest aktywna, dostawa poranna nie jest możliwa"
Morning delivery fee,Koszt dostawy porannej
Evening delivery active,Dostawa wieczorna aktywna
Monday delivery,Dostawa w poniedziałek
Delivery on monday may require special conditions compared to other (week)days including but not limited to fee and cutoff time.,"Dostawa w poniedziałek może wymagać specjalnych warunków w porównaniu do innych dni (tygodnia), w tym między innymi opłat i godziny granicznej."
Number of days,Liczba dni
Delivery enabled,Dostawa włączona
Receipt code,Kod odbioru
Receipt code fee,Koszt kodu odbioru
Collect package,Odbierz paczkę
Digital stamp settings,Ustawienia cyfrowego znaczka
"Fill in weight in grams, regardless of 'weight type' settings. This weight is added to the order weight. Exception: digital stamp will use the range class exactly when specified.","Wprowadź wagę w gramach, niezależnie od ustawień 'typu wagi'. Ta waga jest dodawana do wagi zamówienia. Wyjątek: cyfrowy znaczek użyje dokładnej klasy wagi, gdy zostanie określona."
Automate digital stamp,Automatyzuj cyfrowy znaczek
Default weight,Domyślna waga
